2019-05-14 01:44:44.550  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:44:44.701  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:44:44.981  INFO 10249 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Nothing is there for  Facebook
2019-05-14 01:45:06.793  INFO 10249 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-05-14 01:45:06.794  INFO 10249 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-05-14 01:45:06.799  INFO 10249 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 5 ms
2019-05-14 01:45:06.848  INFO 10249 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Size of Json Array Sent to Kapture 2
2019-05-14 01:45:06.848  INFO 10249 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Response Fetched From Kapture Server  {"status":"free","message":"Data Synced Successfully"}
2019-05-14 01:45:13.140  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:45:16.293  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:45:16.294  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:45:16.941  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:45:16.944  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:45:20.286  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:45:20.287  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:45:20.456  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:45:20.460  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:45:23.462  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:45:23.462  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:45:23.629  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:45:23.974  INFO 10249 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Nothing is there for  Facebook
2019-05-14 01:45:24.279  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:45:26.944  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:45:26.944  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:45:27.114  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:45:27.117  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:45:30.015  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:45:30.016  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:45:30.184  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:45:30.188  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:45:32.574  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:45:32.575  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:45:32.712  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:45:33.086  INFO 10249 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Nothing is there for  Facebook
2019-05-14 01:45:34.294  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:45:36.876  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:45:36.876  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:45:37.008  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:45:44.293  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:45:47.933  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:45:47.934  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:45:48.460  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:45:54.294  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:45:56.943  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:45:56.943  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:45:57.096  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:46:03.397  INFO 10249 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Nothing is there for  Facebook
2019-05-14 01:46:04.293  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:46:06.776  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:46:06.776  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:46:06.941  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:46:14.293  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:46:16.810  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:46:16.810  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:46:16.992  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:46:24.294  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:46:27.445  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:46:27.446  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:46:28.005  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:46:29.299  INFO 10249 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Nothing is there for  Facebook
2019-05-14 01:46:34.293  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:46:37.085  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:46:37.086  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:46:37.225  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:46:44.291  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:46:46.917  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:46:46.918  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:46:47.066  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:46:54.293  INFO 10249 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 01:46:57.155  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 01:46:57.156  INFO 10249 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 01:46:57.315  INFO 10249 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 01:47:03.494  INFO 10249 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Nothing is there for  Facebook
